,Returns,Volatility,Beta,Sharpe_Ratio,PE
TT,0.216695465,0.277389976,1.226086,0.781194287,
TDG,0.334307385,0.324326756,1.674456,1.030773373,236.04198
TRV,0.143397442,0.227354565,0.752992,0.630721631,10.017489
TRMB,0.181271127,0.348795411,1.523394,0.51970617,48.857143
TFC,0.135498634,0.298905785,1.323721,0.453315529,14.215199
TWTR,0.176746529,0.543608569,0.762785,0.325135656,148.40425
TYL,0.343697972,0.278171205,0.565217,1.235562725,111.76044
TSN,0.188627518,0.291205314,0.836413,0.647747514,12.297367
UDR,0.114376429,0.247875564,0.731773,0.461426804,280.56125
ULTA,0.294443277,0.397679519,1.703804,0.740403421,107.97427
USB,0.115702968,0.263752731,1.162132,0.438679698,14.658221
UAA,0.197166606,0.457466004,1.273667,0.430997286,79.26357
UA,-0.081184702,0.508962301,1.273667,-0.159510247,67.90698
UNP,0.204704197,0.255410236,1.136413,0.801472172,28.311115
UAL,0.17772448,0.484405801,1.697186,0.366891726,
UNH,0.27761401,0.262174891,0.775843,1.058888626,23.437572
UPS,0.138370103,0.218609841,1.054891,0.632954593,32.313408
URI,0.342527598,0.467822298,2.059239,0.732174587,25.975407
UHS,0.175913477,0.334530486,1.18257,0.525851857,13.603291
UNM,0.082895566,0.351501472,1.730978,0.235832771,7.118732
VLO,0.211019913,0.401569138,2.151086,0.525488374,
VTR,0.089467536,0.344036129,1.294565,0.260052734,
VRSN,0.233170006,0.267859806,0.814673,0.870492699,39.176174
VRSK,0.20608737,0.218290331,0.780434,0.944097568,44.172092
VZ,0.111203891,0.177367676,0.459738,0.626968192,12.227094
VRTX,0.301822423,0.493852752,0.673369,0.611158735,19.214565
VFC,0.210080086,0.294523561,0.973992,0.713287878,76.746414
VIAC,0.141646429,0.346787898,1.674102,0.408452631,
VTRS,0.053772087,0.361401597,1.500543,0.148787629,
V,0.290724479,0.249964672,0.996195,1.163062272,50.92807
VNO,0.032203212,0.291328651,1.393362,0.110539117,
VMC,0.184293582,0.334974193,0.582698,0.550172477,35.058437
WRB,0.173979224,0.220978416,0.82826,0.787313201,17.995573
WAB,0.156385243,0.316465758,1.650707,0.494161655,38.89551
WMT,0.141480706,0.194288846,0.474972,0.728197778,32.997684
WBA,0.067003356,0.282000933,0.455434,0.237599768,
DIS,0.201785838,0.250773575,1.192056,0.804653514,
WM,0.163434688,0.190191447,0.802173,0.859316708,40.508194
WAT,0.150188698,0.26138079,0.80163,0.574597306,39.47443
WEC,0.168033033,0.204283611,0.176086,0.822547792,23.71882
WFC,0.068842831,0.289817156,1.322118,0.237538841,31.552198
WELL,0.12826353,0.308118815,1.033152,0.416279446,49.577625
WST,0.302803742,0.251466567,0.986942,1.204151097,60.15048
WDC,0.164975803,0.431604638,1.600543,0.382238254,56.80665
WU,0.085344222,0.266715705,1.018478,0.31998199,12.823204
WRK,0.064165596,0.39547525,1.273913,0.162249333,
WY,0.142549119,0.317880517,1.879891,0.448436162,18.98143
WHR,0.16098695,0.357249437,1.882065,0.450628981,10.3349495
WMB,0.143068639,0.425243349,1.529379,0.336439451,26.42405
WLTW,0.129993796,0.223940803,0.81576,0.580482854,18.837296
WYNN,0.152291215,0.469865644,2.460326,0.324116514,
XEL,0.157303353,0.192054586,0.303046,0.81905544,23.5426
XLNX,0.229085895,0.309877184,1.005978,0.739279647,57.19084
XYL,0.205123865,0.264334383,1.023369,0.776001453,75.35928
YUM,0.164266712,0.253674683,1.034782,0.647548704,35.14041
ZBRA,0.29688642,0.359615598,1.585869,0.825566025,46.30626
ZBH,0.147810698,0.262520251,1.349836,0.563044935,59.94864
ZION,0.12653046,0.333664905,1.57663,0.37921417,10.601748
ZTS,0.250519447,0.251463564,0.6375,0.996245511,54.636116
