field_1,id,date,price,bedrooms,bathrooms,sqft_livin,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basem,yr_built,yr_renovat,zipcode,lat,long,sqft_liv_1,sqft_lot15,bed_to_bat,has_baseme,water_dist,path_cost
14,1175000570,3/12/2015,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,2.5,0,0.171855599,0.153011548
15,9297300055,1/24/2015,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,1.333333333,1,0.833566682,0.267484281
17,6865200140,5/29/2014,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,4,0,0.478459319,0.076287718
18,16000397,12/5/2014,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,2,0,6.048751846,0.503535928
19,7983200060,4/24/2015,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,3,0,1.319252973,0.501579779
20,6300500875,5/14/2014,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,2.285714286,1,1.225484223,0.144350271
22,7137970340,7/3/2014,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,2,0,7.44249456,0.503535928
23,8091400200,5/16/2014,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,1.333333333,0,10.40224762,0.503535928
24,3814700200,11/20/2014,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,1.333333333,0,8.951632217,0.503535928
25,1202000200,11/3/2014,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,1.5,0,5.855363889,0.503535928
26,1794500383,6/26/2014,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,1.714285714,1,0.793475438,0.110788356
27,3303700376,12/1/2014,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,3,0,0.905926301,0.084979632
28,5101402488,6/24/2014,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,1.714285714,1,1.490950361,0.107818285
29,1873100390,3/2/2015,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,1.6,0,3.456693306,0.13224325
30,8562750320,11/10/2014,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,1.2,0,1.131302876,0.415300639
31,2426039314,12/1/2014,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,1.333333333,0,0.753211048,0.219811861
32,461000390,6/24/2014,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,2.285714286,1,1.512458273,0.144271557
33,7589200193,11/10/2014,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,3,0,1.197249725,0.161604446
34,7955080270,12/3/2014,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,1.454545455,1,5.739757628,0.437399093
35,9547205180,6/13/2014,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,1.2,1,0.896973073,0.077903069
37,2768000400,12/30/2014,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,2,0,0.833917041,0.110077399
38,7895500070,2/13/2015,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,4,1,2.245821288,0.501579779
39,2078500320,6/20/2014,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,1.6,0,0.946763073,0.393844328
40,5547700270,7/15/2014,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,1.6,0,1.939937194,0.13224325
42,7203220400,7/7/2014,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,1.818181818,0,4.340069261,0.13224325
43,9270200160,10/28/2014,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,3,0,0.768107499,0.111862481
44,1432701230,7/29/2014,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,3,1,4.086695106,0.437399093
46,8945200830,3/25/2015,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,3,0,1.460205155,0.507470721
48,9215400105,4/28/2015,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,1.714285714,0,1.779396833,0.070002958
50,5245600105,9/16/2014,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,3,0,1.338591353,0.498346866
51,7231300125,2/17/2015,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2,1,1.011900353,0.418648795
52,7518505990,12/31/2014,600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,1.714285714,1,0.963954288,0.16441763
53,3626039271,2/5/2015,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,1.142857143,1,0.848709186,0.17257921
54,4217401195,3/3/2015,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,2.222222222,1,0.220344008,0.059199097
55,9822700295,5/12/2014,885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,1.6,0,0.207049248,0.048304986
56,9478500640,8/19/2014,292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,1.6,0,10.42475574,0.503535928
57,2799800710,4/7/2015,301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,1.2,0,10.28157115,0.503535928
59,8079040320,2/23/2015,430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,1.333333333,0,2.479498121,0.418648795
61,9558200045,8/28/2014,289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,1.714285714,0,0.869667587,0.497042623
62,5072410070,10/21/2014,505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,1.714285714,0,0.471475837,0.505706796
63,9528102996,12/7/2014,549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,1.714285714,0,0.489561628,0.068125596
64,1189001180,6/3/2014,425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,1.333333333,1,0.697590816,0.095896886
65,3253500160,11/20/2014,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,1.090909091,1,0.959967691,0.174763821
67,3717000160,10/9/2014,287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,1.6,0,3.243522089,0.501579779
71,1049000060,1/5/2015,325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,1.5,0,2.772018448,0.275708061
72,8820901275,6/10/2014,571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,2,1,0.387800668,0.169424374
73,5416510140,7/10/2014,360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,1.6,0,13.55049851,0.437399093
76,4036801170,10/13/2014,380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2.285714286,1,0.628152902,0.240961112
77,2391600320,4/20/2015,480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,3,0,0.565639352,0.301356953
78,6300000287,6/9/2014,410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,3,1,1.550990871,0.153066832
80,5104520400,12/2/2014,390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,1.2,0,14.43223702,0.437399093
81,7437100340,12/22/2014,360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,1.6,0,14.39004184,0.437399093
82,9418400240,10/28/2014,355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,2,1,1.673041684,0.246678756
83,1523059105,1/28/2015,356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,2,0,2.985346174,0.437399093
84,1133000671,6/2/2014,315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,3,0,1.339288438,0.177101727
85,4232902595,11/14/2014,940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,2,1,0.6759876,0.12851971
86,2599001200,11/3/2014,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2.222222222,0,7.520406374,0.503535928
87,3342103156,6/18/2014,461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,0.923076923,1,0.41043714,0.393844328
88,1332700270,5/19/2014,215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,0.888888889,0,0.615550948,0.393844328
89,3869900162,9/4/2014,335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,1.142857143,1,0.469818427,0.337219031
90,2791500270,5/22/2014,243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,1.6,0,1.090376754,0.507470721
91,5036300431,3/11/2015,1100000,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,1.818181818,0,0.544534295,0.151344232
93,6021501535,7/25/2014,430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2,1,1.058071155,0.175624206
94,6021501535,12/23/2014,700000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2,1,1.058071155,0.175624206
97,1099611230,9/12/2014,199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,2.666666667,0,1.568568103,0.508931224
101,5200100125,10/27/2014,555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,1.5,1,1.145189119,0.139880173
103,2450000295,10/7/2014,1090000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,1.2,0,0.181530312,0.240961112
106,546000875,5/23/2014,460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,3,1,1.133949276,0.168737573
107,3530510041,7/23/2014,188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,1.142857143,0,0.192646371,0.498346866
110,9545230140,7/25/2014,597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,1.6,0,1.467725974,0.415300639
111,3362400511,3/4/2015,570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,1.714285714,1,0.246913057,0.118034354
113,6126500060,11/24/2014,329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,1.714285714,1,1.744793097,0.248690617
115,3626039325,11/21/2014,740500,3,3.5,4380,6350,2,0,0,3,8,2780,0,1900,0,98117,47.6981,-122.368,1830,6350,0.857142857,0,0.921016554,0.169390831
116,3362400431,6/26/2014,518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,0.857142857,0,0.182393181,0.115030689
117,4060000240,6/23/2014,205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,2,0,0.760667485,0.367579209
118,3454800060,1/8/2015,171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,2,0,2.552239804,0.383187849
119,1695900060,5/11/2015,535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,4,0,0.341321827,0.15377588
120,7278700070,1/2/2015,660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,1.2,1,0.375550284,0.345814651
121,6675500070,11/19/2014,391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,1.5,0,1.725525032,0.275708061
122,3626039187,4/6/2015,395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,2,0,0.97864986,0.167448753
123,3524049083,11/4/2014,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,2.285714286,1,0.127109511,0.291630104
126,4058801670,7/17/2014,445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,1.333333333,1,0.166597142,0.356824857
127,8732020310,7/17/2014,260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,1.777777778,1,0.93950586,0.508931224
128,2331300505,6/13/2014,822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,1.428571429,1,0.267508696,0.106581549
129,7853210060,4/6/2015,430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,1.6,0,9.863053323,0.418648795
130,3668000070,1/5/2015,212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,1.714285714,0,9.536807564,0.503535928
131,9545240070,4/28/2015,660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,1.777777778,1,1.718839871,0.415300639
133,8929000270,5/12/2014,453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,1.2,1,2.817319972,0.415300639
134,2767602356,1/26/2015,675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,1.142857143,0,0.633956572,0.142523603
136,3655000070,8/5/2014,220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,2.285714286,1,1.714591266,0.501579779
138,3992700335,7/7/2014,382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,2,0,0.549724575,0.163064368
139,2767603505,5/7/2014,519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,1.333333333,0,0.541417291,0.142478577
140,4232901525,6/27/2014,665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,2,0,0.886224115,0.12020255
141,1777500060,7/8/2014,527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,2,1,0.88117346,0.240961112
142,1432900240,5/8/2015,205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,3,1,3.657060314,0.437399093
143,6140100875,4/15/2015,420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,3,1,1.176363771,0.179879354
144,6071600370,2/27/2015,500000,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,1.777777778,1,1.085761897,0.393844328
146,809001525,6/25/2014,890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,4,1,0.751174676,0.109858953
149,1994200024,11/4/2014,511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,3,1,0.178349825,0.104446241
150,3362900810,8/20/2014,532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,1.5,0,0.459995773,0.125621199
151,1324300398,4/9/2015,560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,3,0,0.148643005,0.085467355
152,537000445,3/31/2015,282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,3,0,1.835137657,0.501579779
154,7920100045,5/16/2014,350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,1,0,1.618832454,0.07049449
155,8960000030,7/28/2014,215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,3,0,4.111570696,0.437399093
157,8731900200,8/7/2014,320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,1.454545455,1,1.038268626,0.507470721
158,8029200135,11/13/2014,247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,1.5,0,24.22550173,0.503535928
160,84000105,5/7/2014,255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,2.222222222,1,1.240295859,0.401843275
161,3756500060,3/9/2015,438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,1.714285714,0,1.330578961,0.128667689
163,3574800520,6/20/2014,441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,1.090909091,1,1.919598682,0.275708061
165,2558660270,12/8/2014,370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500,1.714285714,1,2.377290469,0.128667689
166,2009000370,2/19/2015,269950,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750,1.142857143,1,0.316772828,0.498346866
167,1836980160,3/24/2015,807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500,1.6,0,1.014835386,0.240961112
168,3261020370,6/5/2014,653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750,1.2,1,0.366025928,0.128667689
169,1755700060,6/11/2014,371500,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,1.5,0,2.202367516,0.232584581
171,9542800700,1/2/2015,272000,3,1.75,2160,7140,1,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350,1.714285714,1,1.671454431,0.507470721
172,1999700045,5/2/2014,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,2,0,1.954889283,0.283344792
174,1687900520,9/29/2014,673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,1.777777778,0,1.186888504,0.240961112
175,7234600798,2/10/2015,425000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795,1.2,1,1.384395944,0.099807939
176,3881900445,7/9/2014,399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150,1.818181818,1,0.958100525,0.154882608
177,2254502445,5/30/2014,385000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800,3,0,1.253288131,0.097172163
178,5437810320,11/17/2014,269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941,2,1,18.53350382,0.503535928
179,9158100075,1/7/2015,330000,2,1,1350,8220,1,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280,2,1,0.7687761,0.208302993
180,3830630310,7/25/2014,260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183,1.2,0,6.786526292,0.503535928
181,8123100045,4/14/2015,470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375,1.333333333,1,0.941842668,0.330563861
182,3127200041,6/13/2014,589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600,1.333333333,0,0.51920574,0.128667689
183,6661200320,7/23/2014,163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,1.333333333,0,11.88868232,0.437399093
187,1954440060,5/5/2014,560000,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744,1.2,0,1.193513331,0.13224325
188,2264500350,4/18/2015,615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400,4,0,0.163218697,0.056886282
190,9477200200,8/18/2014,305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400,1.714285714,1,1.879475949,0.128667689
191,1432600560,11/5/2014,166950,3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980,3,0,3.09678723,0.437399093
192,2287000060,9/12/2014,799000,3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,1.2,0,0.414635536,0.289317817
193,3663500060,6/25/2014,400000,3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818,1.2,1,2.023677401,0.271742236
195,7796450200,5/15/2014,256883,3,2.5,1690,5025,2,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,5001,1.2,0,1.135906092,0.511431829
196,7549802535,11/11/2014,423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480,2,1,2.037811843,0.240565111
197,3278600320,7/23/2014,465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.372,1750,2385,1.2,0,1.268188551,0.304751961
202,7551300060,7/16/2014,470000,3,1,1010,5000,1,0,0,3,7,1010,0,1952,0,98107,47.675,-122.394,1680,5000,3,0,0.516644726,0.164011413
203,100600550,8/4/2014,226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,2,1,1.746857705,0.507470721
204,3211100860,3/3/2015,274250,3,1,910,8450,1,0,0,4,6,910,0,1962,0,98059,47.4787,-122.158,1400,8040,3,0,2.752069235,0.437399093
206,9526600140,9/19/2014,677900,3,2.5,2440,4587,2,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.114,2750,4587,1.2,0,3.548586621,0.13224325
207,7465900060,2/5/2015,425000,3,1,1010,5864,1,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000,3,0,0.802356174,0.273411661
208,1222000055,11/23/2014,180250,2,0.75,900,9600,1,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,1250,14280,2.666666667,0,1.46832766,0.45671618
209,6300000550,7/17/2014,464000,6,3,2300,3404,2,0,0,3,7,1600,700,1920,1994,98133,47.7067,-122.343,1560,1312,2,1,1.524930565,0.155072412
210,2310030510,4/22/2015,320000,4,2.25,1550,7579,2,0,0,3,8,1550,0,1993,0,98038,47.354,-122.047,1630,6397,1.777777778,0,13.95985653,0.437399093
211,1025049114,7/17/2014,625504,3,2.25,1270,1566,2,0,0,3,8,1060,210,2014,0,98105,47.6647,-122.284,1160,1327,1.333333333,1,0.567399565,0.057099837
214,1102000196,5/27/2014,477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,0,98118,47.5458,-122.268,2130,8700,1.454545455,0,0.470050991,0.260293787
217,1909600046,7/3/2014,445838,3,2.5,2250,5692,2,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.379,1320,5390,1.2,0,0.752336786,0.390300105
220,5611500140,8/22/2014,686000,4,2.5,2760,6440,2,0,0,3,10,2760,0,1999,0,98075,47.5836,-122.026,3070,8127,1.6,0,1.823199553,0.240961112
221,7138000260,6/5/2014,279950,3,2,1750,9750,1,0,0,3,7,1350,400,1961,0,98198,47.398,-122.299,1900,10125,1.5,1,1.289994606,0.532821775
224,705700390,9/3/2014,328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,0,98038,47.3828,-122.023,2020,8031,1.333333333,0,12.15097863,0.437399093
