Page,Number,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
Carl Blue Clemson,339,2mo • Edited • 2 months ago,"The report says that while you may lose whatever job you have now, nearly 70 percent of companies intend to hire employees with experience in designing AI tools.",Article,1,0,0,https://www.vice.com/en/article/ai-is-set-to-replace-41-of-jobs-in-the-next-five-years/
Carl Blue Clemson,339,2mo • 3 months ago,Dr. Amanda Bridges and myself presented our research today at Clemson Teaching Excellence Conference 2025 hosted by the  Office of Teaching Effectiveness and Innovation (OTEI). Action Research (and Ai) as a Tool for Pedagogical Excellence.,Image,51,3 comments,1 repost,None
Carl Blue Clemson,339,4mo • Edited • 4 months ago,Sana Kahn has successfully defended her research project in developing a prototype for a lab scheduling system for her Master’s of Science in Graphic Communications today (11/18/2024).  Please congratulate her success!,Image,43,3 comments,2 reposts,None
Carl Blue Clemson,339,5mo • 5 months ago,https://lnkd.in/e3XmftfJ,Image,55,9 comments,2 reposts,None
Carl Blue Clemson,339,5mo • 6 months ago,This is fun! They are the best.,Shared Post,30,2 comments,2 reposts,None
Carl Blue Clemson,339,5mo • Edited • 6 months ago,"We have rescheduled our Fall Intern Employer Day for Clemson Graphic Communications to Thurs., Oct 24. If you were previously unable to make Oct 1 work, now you have a second chance to join us for this exclusive career fair and networking event. What better way to engage with the future leaders of our industry?https://lnkd.in/gdsqzvxp",Unknown,13,0,3 reposts,None
Carl Blue Clemson,339,6mo • 6 months ago,https://lnkd.in/eJ7SYzvQ,Image,34,0,0,None
Carl Blue Clemson,339,6mo • 6 months ago,Tis the season… Homecoming 2024,Image,36,0,0,None
Carl Blue Clemson,339,6mo • 7 months ago,,Image,9,2 comments,0,None
Carl Blue Clemson,339,6mo • 7 months ago,"Our Fall Intern Employer Day is right around the corner! Join us on Clemson's campus on Tuesday, Oct 1, for a career fair exclusive to Graphic Communications students.",Image,14,1 comment,0,None
Carl Blue Clemson,339,7mo • 7 months ago,,Article,7,0,0,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fced.ncsu.edu%2Fnews%2F2024%2F08%2F29%2Fwhyichoseeducation-i-enjoy-seeing-the-shy-or-unsure-student-come-in-and-become-more-confident-says-carl-blue-06edd%2F&data=05%7C02%7Ccnblue%40clemson.edu%7C27d5cbdbcd6a452ca38608dcc85bff2a%7C0c9bf8f6ccad4b87818d49026938aa97%7C0%7C0%7C638605544663963658%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=%2BagTBDPK0FxGZzKAtZ0KTby3nMuKOYxLUEMGyZVovPg%3D&reserved=0
Carl Blue Clemson,339,7mo • 7 months ago,TAGA Needs You: Fall 2024 / Spring 2025! GC students will participate in developing a printed book outlining our great program and compete with other GC programs across the nation. Participating students will travel to the 2025 TAGA Conference. Join now. Contact me for more information: cnblue@clemson.edu,Image,13,0,0,None
Carl Blue Clemson,339,7mo • 8 months ago,https://lnkd.in/eMEsaN5t,Article,2,0,0,https://www.linkedin.com/newsletters/cyber-security-hub-newsletter-7169505470506872833
Carl Blue Clemson,339,8mo • Edited • 9 months ago,Just completed a beneficial six-week bootcamp with the Brook T. Smith Launchpad at Clemson University’s Entrepreneurship Hub.,Image,32,4 comments,1 repost,None
Carl Blue Clemson,339,10mo • 11 months ago,Congratulations Spring Class of 2024,Image,30,0,0,None
Carl Blue Clemson,339,10mo • 11 months ago,"Our GC undergraduate students must participate in two paid internships in their academic journey toward graduation and gainful employment. At times, it is challenging to land a summer and a semester full-time internship, but it is a rewarding experience, with most being hired into gainful employment in business and industry upon graduation.",Unknown,3,0,0,None
Carl Blue Clemson,339,11mo • 11 months ago,"NSF has launched a new research funding opportunity in partnership with BASF , Dow , IBM , PepsiCo and Procter & Gamble seeking to accelerate the discovery and manufacture of superior and sustainable polymers to enhance national competitiveness and tackle global challenges such as plastic waste. Sustainable Polymers Enabled by Emerging Data Analytics (SPEED) is part of NSF's Molecular Foundations for Sustainability program. SPEED is one of several NSF efforts to advance fundamental research in sustainable chemistry, a national priority highlighted in the ""CHIPS and Science Act of 2022"" which called on NSF to support sustainable chemistry research and education by fostering collaborative research and development partnerships among universities, industry and other organizations. ""Synthetic polymers are in many products and materials used by our society, from concrete and plastics to paper and rubber,"" says David Berkowitz, director of the NSF Division of Chemistry. ""Melding frontier chemistry with advanced data science tools to design and commercialize new high-value polymers can reduce pollution and waste — and ultimately enhance the health of our planet and the resiliency of our communities."" Learn more: https://bit.ly/3wgExw0📷: Adobe Stock/generated with AI",Shared Post,250,4 comments,39 reposts,None
Carl Blue Clemson,339,11mo • 1 year ago,"“With new high-speed scanners and a dedicated team of digitization staff, this new center is a game changer for the National Archives,” said Archivist of the United States Dr. Colleen Shogan. The National Archives and Records Administration launched a state-of-the-art digitization center in College Park, Maryland, enabling faster access to the country's most important historical federal government records. Archivist of the United States Dr. Colleen Shogan, Rep. Steny Hoyer), Sen. Chris Van Hollen),  and Rep. Glenn Ivey took part in a ribbon-cutting ceremony April 12, 2024. High-speed scanners and overhead camera systems that can handle a range of records and formats are among the equipment in the new facility. The National Archives will be able to digitize up to ten times as many records annually with the use of this technology. The public will have access to millions more records due to these upgrades. The agency’s goal of making access happen to federal records is dependent on our ability to expedite the digitization of our more than 13 billion documents. Learn more on the National Archives News: https://lnkd.in/gnhQEhp5",Shared Post,549,7 comments,52 reposts,None
Carl Blue Clemson,339,11mo • 1 year ago,Check out this job at Clemson University: Department Chair - FNPS,Unknown,10,0,2 reposts,None
Carl Blue Clemson,339,1yr • 1 year ago,"CIHE Pedagogic Research ConferenceThe Centre for Innovation in Higher Education is pleased toannounce a national Pedagogic Research Conference onthe theme of Moving into Pedagogic Research, which will takeplace on ARU’s Cambridge Campus on Thursday, 11 July 2024.We welcome PGRs, newer career researchers,experienced pedagogic researchers and ProfessionalServices colleagues.https://lnkd.in/eKyh3vGN",Article,5,0,1 repost,https://store.anglia.ac.uk/conferences-and-events/conferences-events/conference-events/cihe-pedagogic-research-conference
Carl Blue Clemson,339,1yr • 1 year ago,Good documentary on A.I.,Article,,0,1 repost,https://youtu.be/-sB12gk9ESA?si=sX3MsfYcupH4QtbI
Carl Blue Clemson,339,1yr • 1 year ago,"AI replacing jobs isn't a theoretical idea, new research suggests, but something that is happening — right now.https://lnkd.in/e_VqZNBQ",Shared Post,5,0,2 reposts,None
Carl Blue Clemson,339,1yr • 1 year ago,"Presenting today in Dallas, TX @TAGA - COLOR Co-Conferences on Research on Students’ Post Internship Experiences and Workforce Collaboration with Industry",Unknown,14,3 comments,0,None
Carl Blue Clemson,339,1yr • 1 year ago,Welcome and let’s begin…,Image,13,0,1 repost,None
Carl Blue Clemson,339,1yr • Edited • 1 year ago,"Conference Day!INTED 2024- International Technology, Education and Development Conference in Valencia, Spain",Image,5,4 comments,0,None
Carl Blue Clemson,339,1yr • 1 year ago,Presenting at TAGA 2024 in Dallas,Image,21,1 comment,0,None
Carl Blue Clemson,339,1yr • 1 year ago,The importance and value of internships is highlighted in this article.,Unknown,5,0,1 repost,None
Carl Blue Clemson,339,1yr • 1 year ago,Get up to speed on the rapidly evolving world of AI with our roundup of the week's developments.,Shared Post,1,0,2 reposts,None
Carl Blue Clemson,339,1yr • 1 year ago,,Article,8,0,2 reposts,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178687700
Carl Blue Clemson,339,1yr • 1 year ago,"Spring 2024, GC2070 Foundations 2 labs begin their four-color Nano Printing projects.",Image,35,3 comments,0,None
Carl Blue Clemson,339,1yr • 1 year ago,Arizona State University Joins ChatGPT in First Higher Ed Partnership hashtag#HigherEd https://bit.ly/3OaEtU7,Shared Post,61,2 comments,17 reposts,None
Carl Blue Clemson,339,1yr • Edited • 1 year ago,"Presenting today at the iCERi 2023 Conference in Seville, Spain on my research using a Delphi study of Industry and Academic professionals to determine best practices and competencies for Technical Writing in Graphic Communications discipline.",Image,22,1 comment,2 reposts,None
Carl Blue Clemson,339,1yr • 1 year ago,Awesome day at PRINTING United Alliance Expo 2023 in Atlanta reconnecting with colleagues. Adriane Burkland Harrison and Alexandra Pano,Image,35,3 comments,1 repost,None
Carl Blue Clemson,339,1yr • 1 year ago,"Every year, Clemson University’s Graphic Communications department welcomes back its cherished alumni and their families to Godfrey Hall, showcasing the latest innovations in the field while rekindling old friendships. As part of the Homecoming festivities, the department produces awe-inspiring banners that adorn the front of Godfrey Hall, embodying the spirit and pride that define Clemson University’s Homecoming celebration. Read More! 📰Clemson Graphic Communications",Shared Post,118,4 comments,10 reposts,None
Carl Blue Clemson,339,1yr • 1 year ago,GC-Godfrey Hall - Homecoming 2023,Image,62,1 comment,4 reposts,None
Carl Blue Clemson,339,1yr • 1 year ago,,Unknown,,0,0,None
Carl Blue Clemson,339,1yr • Edited • 1 year ago,"Presented today on my research on the use of A.I. image generation and tablet based graphic applications for ideation and prepress workflows, at the 2023 Graphic Communication Education Association (GCEA) Conference at RISD in Providence, RI.",Image,61,8 comments,1 repost,None
Carl Blue Clemson,339,1yr • 1 year ago,"Friends in Education & greater Graphic Communications industry - North Idaho College in beautiful Coeur D'Alene is looking for an Assistant Professor—UX/UI Design & Front End Development. Not posted yet but I can make the connection :) Thanks! Job Summary:This position is responsible for providing instruction and serving as an advisor to students enrolled in the Graphic Design Program each semester and possibly during NIC’s six-week summer session. Areas of instruction may include UX/UI Design, UX Research, Information Architecture, Front-End Development, Interaction Design/Prototyping, Social Media Design Strategies, and Modern Web technologies.https://lnkd.in/gBx7W-Gg hashtag#highereducation hashtag#uxdesign hashtag#webdevelopment hashtag#graphiccommunications",Shared Post,6,0,5 reposts,None
Carl Blue Clemson,339,1yr • 2 years ago,Congratulations Clemson’s Class of 2023 graduates.,Image,24,0,1 repost,None
Carl Blue Clemson,339,2yr • 2 years ago,"TAGA23, Oklahoma City, OK. The final breakout session is wrapping up with Dr Carl Blue presenting research on the “Effectiveness of Tablet-based Apps for Developing Raster and Vector Print-ready Files for Conventional Printing Processes”",Image,12,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,PGSF has been investing in the future of print and graphics and changing lives since 1956. Our scholarship applications are currently open for students who will be enrolling in print and graphics programs. https://lnkd.in/gH_QA95q,Shared Post,22,0,7 reposts,None
Carl Blue Clemson,339,2yr • 2 years ago,"Attending INTED 2023, Valencia, SpainPresenter and Session Chair for Challenges in Curriculum Design, representing Clemson University’s Department of Graphic Communications hashtag#design hashtag#graphics hashtag#communications",Image,20,1 comment,0,None
Carl Blue Clemson,339,2yr • 2 years ago,Check out this job at Clemson University: Virtual Reality Developer,Unknown,3,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,Be sure to register and support our PGSF Online Auction! Bidding is open from Jan 22  - Jan 26 during hashtag#EPSConnect2023. Log in and register now - and Good Luck!https://lnkd.in/g5rejNpd,Shared Post,6,0,4 reposts,None
Carl Blue Clemson,339,2yr • 2 years ago,Congratulations Fall Class of 2022 - Clemson University,Image,11,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,This one has been going around.,Article,,0,0,https://www.tiktok.com/t/ZTRq8sHyS/
Carl Blue Clemson,339,2yr • 2 years ago,Check out this job at Boingo Graphics : Project Manager,Unknown,3,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,Lecturer - Graphic CommunicationsClemson University: College of Business: Graphic Communications,Article,1,0,0,https://apply.interfolio.com/118199
Carl Blue Clemson,339,2yr • 2 years ago,"I am looking forward to presenting at the upcoming Digital Textile Printing Conference, December 7 - 8, 2022.https://lnkd.in/gGwk525W",Image,21,0,0,None
Carl Blue Clemson,339,2yr • Edited • 2 years ago,"In the Adobe and Pantone dispute, creators are left in the darkhttps://lnkd.in/g-xsiwpN",Unknown,,1 comment,0,None
Carl Blue Clemson,339,2yr • 2 years ago,Technical Writing Initiative in Graphic CommunicationsClemson Graphic Communications Research10-minute survey to gather data for developing Technical Writing Competencies in Graphic Communications (GC).Participation in taking this survey will assist in developing curriculum and instructional materials that will enhance students' learning of technical writing and provide instructors in the Graphic Communications discipline with valuable resources. The purpose of this research is to develop a concise supplemental Technical Writing resource for Graphic Communications majors and instructors (and beyond) based on assembled competencies derived through a study of responses from academics and industry professionals. This resource is meant to enlighten and encourage student success in writing in the discipline (WID).Click to participatehttps://lnkd.in/gec3Vczb # # #,Image,8,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,"Presented today at the ATMAE (Association of Technology Management and Applied Engineering) at the annual conference in Louisville, KY hashtag#technology hashtag#management hashtag#graphiccommunications",Image,47,0,0,None
Carl Blue Clemson,339,2yr • Edited • 2 years ago,"Clemson Graphic Communications Research 10 minute survey to gather data for developing Technical Writing Competencies in Graphic Communications (GC). https://lnkd.in/gec3VczbGC Industry Professionals and Academics are welcome to participate. hashtag#research hashtag#learning hashtag#writing hashtag#communications hashtag#graphics TWIG Technical Writing Initiative in GraphicsParticipation in taking this survey will assist in developing curriculum and instructional materials that will enhance students' learning of technical writing, as well as provide instructors in the Graphic Communications (GC) discipline with valuable resources. The purpose of this research is to develop a concise supplemental Technical Writing resource for GC majors and instructors (and beyond) based on assembled competencies derived through a study of responses from academics and industry professionals. This resource is meant to enlighten and encourage student success in writing in the discipline (WID).",Article,3,0,0,https://clemson.ca1.qualtrics.com/jfe/form/SV_781w98Zb7WXFKZM
Carl Blue Clemson,339,2yr • 2 years ago,GC Homecoming 2022,Image,27,1 comment,0,None
Carl Blue Clemson,339,2yr • 2 years ago,https://lnkd.in/guecy4HF,Unknown,,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,"Homecoming 2022, GC@Godfrey Hall, Clemson University",Image,14,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,Homecoming 2022 screens prepped,Image,21,2 comments,2 reposts,None
Carl Blue Clemson,339,2yr • 2 years ago,Upcoming event.,Image,21,0,0,None
Carl Blue Clemson,339,2yr • Edited • 2 years ago,"""What is made possible by the investments we’ve made?""That question was put to company leaders by David Bennett in 2015. He didn’t want to be better. He wanted to be different.It’s a challenging question. Some responses were easy. There were traditional projects that became easier to manage. There was simple direct mail. There were shorter run jobs.That wasn’t the answer David was looking for. He wanted to know what we could invent. He was looking for yet to be imagined services we might design.The resulting collaboration changed the trajectory of our company. Packaging was added. So we’re digital enhancements (SenseAtional)  and laser finishing (Director's Cut). They’re hot topics now but were outrageous gambles seven years ago.All of these things were done with the audience in mind. We wanted creatives to see possibilities not limitations. We wanted to test ideas in minutes not days. It has earned us some of the best work in the world. There have been countless awards but our clients deserve those. We’re proud to be part of making ideas come to life!WE LOVE THIS STUFF!",Shared Post,111,6 comments,3 reposts,None
Carl Blue Clemson,339,2yr • 2 years ago,Shout out to Appstate! Congratulations!,Image,8,0,0,None
Carl Blue Clemson,339,2yr • 2 years ago,https://lnkd.in/g9dXfz8m,Unknown,,0,0,None
Carl Blue Clemson,339,2yr • 3 years ago,FALL 2022 internship & CAREER FAIRhttps://lnkd.in/dk63ngfi,Article,6,0,0,https://www.clemson.edu/business/departments/graphics/internship-program/index.html
Carl Blue Clemson,339,2yr • Edited • 3 years ago,Thanks to Sirane Ltd UK for purchasing  LEN 108 Box Blanking machine. It will be the first machine in UK market . One operator can handle 500.000-800.000 box/shiftState of art Industry 4.0 Systems by Beckhoff Automation.19 inc Screen by Beckhoff AutomationSchmersal Security SystemsAll Hydraulics are installed by Rexroth(Germany) .Max Sheet size: 1080 mm X 780 mmMax Blanking size: 550 mm X 550 mmMin Blanking size : 30 mm X 30 mmDouble Head for double side jobsState of art construction.E-Mail : cem@lennartgroup.nlhashtag#packaging hashtag#blanking hashtag#foldingbox hashtag#printing hashtag#sustainability hashtag#sustainablepackaging hashtag#packagingsolutions hashtag#diecutting hashtag#boxstripping,Shared Post,403,16 comments,39 reposts,None
Carl Blue Clemson,339,2yr • 3 years ago,"Clemson GC visits HP Graphics Experience Center in Alpharetta, GAThank you HP for the great tour and educational experience!!",Image,5,1 comment,0,None
Carl Blue Clemson,339,2yr • 3 years ago,,Article,1,0,0,https://www.linkedin.com/pulse/what-culture-fit-why-do-employers-try-hire-?trackingId=OC7u%2FdySCH7YWf%2F7S9LqdA%3D%3D
Carl Blue Clemson,339,2yr • 3 years ago,"Inkjet is expanding in commercial space, and not simply for technological reasons. Great insight here from Marco Boer.",Article,1,0,0,http://CVSoci.al/pRCyvM2B
Carl Blue Clemson,339,2yr • 3 years ago,"https://lnkd.in/gpsVMFm The TAGA Call for Papers is open for the 2023 Annual Technical Conference that will be held in Oklahoma City, OK. Deadline for submitting abstracts is September 19. Please send them to taga@printing.org. hashtag#taga hashtag#taga23 hashtag#papers hashtag#research hashtag#abstracts hashtag#conference hashtag#event hashtag#scientific hashtag#technical",Article,1,0,0,https://taga.org/call-for-papers/
Carl Blue Clemson,339,2yr • 3 years ago,Congratulations to the Clemson University Wilbur O. and Ann Powers College of Business Class of 2022.,Image,5,0,0,None
Carl Blue Clemson,339,2yr • 3 years ago,Congratulations to the GC Graduate Class of 2022,Image,39,0,1 repost,None
Carl Blue Clemson,339,2yr • Edited • 3 years ago,Today on our last day of classes (cheers!) our Clemson GC Grad students visited Frontier Label  in Greenville. https://lnkd.in/gDB2zxYY,Image,19,0,0,None
Carl Blue Clemson,339,2yr • Edited • 3 years ago,Part Two: our Clemson GC graduate students visited Bennett Graphics in Atlanta this afternoon; amazing printer! We appreciated the opportunity. hashtag#Graphiccommunications,Image,56,1 comment,1 repost,None
Carl Blue Clemson,339,2yr • Edited • 3 years ago,"TGIF! Our Clemson GC graduate students visited with MacDermid Graphics Solutions this morning in Atlanta, amazing people and facilities.https://lnkd.in/gdaKkVhz",Image,3,0,0,None
Carl Blue Clemson,339,2yr • 3 years ago,https://lnkd.in/dcvr92mY,Image,2,0,0,None
Carl Blue Clemson,339,2yr • 3 years ago,Graphic Communications Workforce Coalition (GCWC) & Graphic Communications @ Clemson University (GCCU) hashtag#graphiccommunicationshashtag#fourcolorprocess,Video,3,0,0,None
Carl Blue Clemson,339,2yr • 3 years ago,Graphic Communications Workforce Coalition (GCWC) & Graphic Communications @ Clemson University (GCCU) hashtag#graphiccommunications hashtag#CTS hashtag#computertoscreen,Video,3,0,0,None
Carl Blue Clemson,339,2yr • 3 years ago,Graphic Communications Workforce Coalition (GCWC) & Graphic Communications @ Clemson University (GCCU) # hashtag#graphiccommunications,Video,2,0,1 repost,None
Carl Blue Clemson,339,2yr • 3 years ago,Graphic Communications Workforce Coalition (GCWC) & Graphic Communications @ Clemson University (GCCU) hashtag#graphiccommunications,Video,14,0,3 reposts,None
Carl Blue Clemson,339,2yr • Edited • 3 years ago,Graphic Communications Workforce Coalition (GCWC) & Graphic Communications @ Clemson University (GCCU) hashtag#graphiccommunications,Video,5,0,1 repost,None
Carl Blue Clemson,339,2yr • Edited • 3 years ago,CLEMSON GC is hiring faculty professionals! Please share.https://lnkd.in/eKiC4gwh,Image,20,0,6 reposts,None
Carl Blue Clemson,339,2yr • 3 years ago,Today our GC grad students visited Clemson’s PrintCon and had opportunity to setup and run a BOBST Flexo-corrugated press with Kern Cox in the lead.,Image,23,1 comment,0,None
Carl Blue Clemson,339,3yr • 3 years ago,Attention students! Did you know students who are enrolled in an educational institution that is an active member of PRINTING United Alliance receive free membership to the Alliance? Learn more and get involved https://bit.ly/3oXNZgYhashtag#gcwc hashtag#joinus,Image,4,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,"Sadio Mane, a Senegalese soccer star. earns approximately $10.2 million annually, has given the world a rude awakening after some fans spotted him carrying a cracked iPhone. His response is legendary:""Why would I want ten Ferraris, 20 diamond watches and two jet planes? I starved, I worked in the fields, played barefoot, and I didn't go to school. Now I can help people. I prefer to build schools and give poor people food or clothing. I have built schools and a stadium; provide clothes, shoes, and food for people in extreme poverty. In addition, I give 70 euros per month to all people from a very poor Senegalese region in order to contribute to their family economy. I do not need to display luxury cars, luxury homes, trips, and even planes. I prefer that my people receive some of what life has given me.""♥️♥️♥️♥️♥️",Image,15,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,The Department of Technology (which I am a part of) is wanting to hire a tenure-track Asst. Prof. in Cybersecurity.  The position would start for the Fall 2022 semester.  Please help me spread the word to people that might be interested.   The applicant would need to have a Doctorate (or be ABD).  FMI:,Article,3,0,0,https://usm.hiretouch.com/job-details?jobID=73099&job=assistant-professor-of-cyber-security
Carl Blue Clemson,339,3yr • 3 years ago,Do you have trouble getting your resolutions to stick? Here's how you can change that: http://t.ted.com/Z0cYc70,Article,,0,0,http://t.ted.com/Z0cYc70
Carl Blue Clemson,339,3yr • 3 years ago,Print… dissemination of ideas,Article,2,0,0,https://vm.tiktok.com/TTPdjgwgyN/
Carl Blue Clemson,339,3yr • 3 years ago,,Image,37,10 comments,0,None
Carl Blue Clemson,339,3yr • 3 years ago,“The Print Shop”https://lnkd.in/erZAbuZi,Article,2,0,0,https://vm.tiktok.com/ZM8thYq9E/
Carl Blue Clemson,339,3yr • Edited • 3 years ago,"Research presentation this weekend at PICA: The Printing Industry of the Carolinas, Inc. 2021 Fall Management Conference. Greenville, SC Nov 12-14",Image,5,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,,Article,1,0,1 repost,https://www.cnbc.com/amp/2021/11/07/overused-words-and-phrases-that-make-you-sound-weak-less-confident-according-to-grammar-experts.html
Carl Blue Clemson,339,3yr • 3 years ago,"Two presentations today for the ATMAE Annual Conference, Graphics Divsion, in Orlando, FL",Image,17,6 comments,0,None
Carl Blue Clemson,339,3yr • 3 years ago,GC Halloween,Image,13,1 comment,0,None
Carl Blue Clemson,339,3yr • 3 years ago,Clemson Homecoming today!,Image,17,3 comments,0,None
Carl Blue Clemson,339,3yr • 3 years ago,"Clemson Homecoming today, drop by Godfrey Hall for bandanas",Image,4,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,Womentorship and Revival of Print are Main Themes of Girls Who Print Day and International Print Day in October ... and a bonus Project Peacock Event!Read all about it! https://lnkd.in/dmKZTu7Xhashtag#GirlsWhoPrint hashtag#IPD21 hashtag#PrintAgain hashtag#ProjectPeacock,Image,3,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,CLEMSON GC - HOMECOMING 2021,Image,9,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,GC Grad Students had the opportunity to visit the Gene Haas Center for Manufacturing Innovation this week on the ICAR campus in Greenville.,Image,1,0,0,None
Carl Blue Clemson,339,3yr • 3 years ago,Be a problem-solver rather than the gatekeeper,Image,4,0,0,None
Carl Blue Clemson,339,4yr • 4 years ago,"Dean Wendy York brings a collaborative leadership style to the helm of the Wilbur O. and Ann Powers College of Business.“What we’ve done in the last two years as a team is set a vision for where the college needs to go,” she says, “to make sure our students are business ready for what the marketplace needs — and to ensure the culture of the College of Business is a collaborative and high-functioning team.”",Article,1,0,0,https://bit.ly/375I2px
Carl Blue Clemson,339,4yr • 4 years ago,Four-color screen printing lab,Video,6,0,0,None
Carl Blue Clemson,339,4yr • 4 years ago,Congratulations CoB!,Image,3,0,0,None
Carl Blue Clemson,339,4yr • 4 years ago,,Article,,0,0,https://www.linkedin.com/pulse/clemson-gc-hold-first-ever-virtual-intern-employer-day-jones?trackingId=0KjT0C2580HaGgXj4BG8eQ%3D%3D
Carl Blue Clemson,339,4yr • 4 years ago,"We are building a library of online, free, workshops that can help and support your business or non-profit.Example of the videos:Small Business Basic Start-Up (SCORE / SBDC)Intellectual Property & Small Business Legal ConcernsUnderstanding Financial StatementsSubscribe to our SCORE YouTube Channel to stay up to date and learn about the latest.",Article,1,0,0,https://www.youtube.com/channel/UCO3Q248eO8FahEWPSqqBq8g/
Carl Blue Clemson,339,4yr • 4 years ago,"Clemson University is launching a new full-spectrum advanced materials research and development center to drive breakthrough technological advancements for the state’s automotive, aerospace, defense and energy sectors. The Clemson Composites Center combines decades of expertise and state-of-the-art equipment to bring all stages of the engineering lifecycle under one institution. The first project will be the completion of assistant professor Srikanth Pilla’s $5.8 million research endeavor to redesign a driver’s side door to be lighter and stronger. The interdisciplinary team — which includes the US Dept Of Energy and Honda R&D Americas, LLC — will use the Center’s specialized equipment to build and validate the final prototype.",Article,2,0,0,http://go.tig.rs/ct1i6f
Carl Blue Clemson,339,4yr • 4 years ago,Air Force Col. Keith Balts was honored by Clemson’s Reserve Officers Training Corps program with a pandemic-safe retirement ceremony after 28 years of service. Col. Balts will now lead the College of Business’ new business-critical leadership competency program. hashtag#ClemsonMeansBusiness,Article,1,0,0,https://bit.ly/3imLOgO
