Page,Number,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
Chad Navis 603413,22,10mo • Edited • 10 months ago,"Next up on Clemson's Entrepreneurship and Family Business in Spain study abroad program was Madrid. Special thanks to Christina Kyprianou, a former entrepreneurship professor at Clemson, who organized a fantastic visit for our group to IE Madrid this past Friday, where she and Joe Haslam gave outstanding talks on entrepreneurship in Spain. It has also been amazing exploring and learning more about the history, culture, and cuisine of Madrid and Toledo, where our day trip took us today. Lori Tribble Trudell will be posting some of our group photos from Toledo. Clemson Study Abroad Wilbur O. and Ann Powers College of Business at Clemson University Clemson Entrepreneurs ESPALANG Department of Management at Clemson University Ece Ozturk",Image,61,4 comments,3 reposts,None
Chad Navis 603413,22,10mo • Edited • 10 months ago,"Clemson’s Entrepreneurship and Family Business in Spain study abroad program is in full swing! What an amazing start in Sevilla with our welcome dinner, learning from Ana Cristina Jiménez Quiroga with La Fábrica de Sevilla about the awesome things their Chamber of Commerce is doing to support the region’s entrepreneurship ecosystem, and a day trip to the Tio Pepe winery in Jerez to learn about their operations, 180-year old family business, and special Sherry wine. Clemson Study Abroad Wilbur O. and Ann Powers College of Business at Clemson University Clemson Entrepreneurs ESPALANGDepartment of Management at Clemson University Lori Tribble Trudell Ece Ozturk",Image,53,0,2 reposts,None
Chad Navis 603413,22,11mo • 1 year ago,"So proud of our kiddo (and Rue)! Ashlyn got into the junior showmanship world entirely on her own, started a photography business to pay for all her travel and entry fees, and now is coaching the next generation of young kids on showing dogs. Loved seeing all her hard work get recognized on the news tonight! Special thanks to Rashad Williams at WYFF for his terrific work on the story:",Article,58,8 comments,0,https://www.wyff4.com/article/upstate-teen-will-compete-westminster-dog-show/60660554
Chad Navis 603413,22,1yr • 1 year ago,"🔥 Empower Your Entrepreneurial Journey! 🔥Dreaming of hashtag#entrepreneurial success but wary of potential activist takeovers? Fear not! Our latest article is a beacon of guidance, revealing invaluable strategies for navigating and even harnessing the power of activist campaigns. Learn how savvy hashtag#entrepreneurs can turn the tables, transforming challenges into opportunities for innovation and growth. Ready to unlock the secrets of resilience?Theodore L. Waldron, James Wetherbe, Chad Navis, Elizabeth Petersen Karam (she/her), and Gideon Markmanhttps://lnkd.in/gtpxYd-n",Shared Post,3,0,1 repost,None
Chad Navis 603413,22,1yr • 1 year ago,"Please join us this Friday, March 8th at 1:30 PM in Phyfer Auditorium for our annual Powers Pitch Competition. For more information please email Chad Navis at, chadn@clemson.edu. hashtag#entrepreneurship hashtag#pitchcompetition hashtag#clemsonuniversity",Shared Post,22,1 comment,7 reposts,None
Chad Navis 603413,22,1yr • 1 year ago,"Clemson University students! Don't forget to ask for the gift of travel this holiday season. Our Global Management programs have application deadlines in the new year. Picture yourself in one of these amazing programs. Business Strategy in Ireland - Deadline January 21. Led by Drs. Amy Ingram & Matt Hersel Global Business & HR Management in Italy - Deadline February 1. Led by Drs. Sharon Sheridan, Ph.D., Kristin Scott & Craig Wallace, PhD Global Management Perspectives in Iceland - Deadline February 1. Led by Dr. José A. Sagarnaga Global Management Perspectives in Germany - Deadline February 1 Led by Dr. Blake Snider Global Business & Management in Paris - Deadline February 1. Led by Dr. Wayne Stewart Entrepreneurship & Family Business in Spain - Deadline February 15. Led by Drs. Lori Tribble Trudell & Chad Navis Click the link in the comments for a list of all Global Management Faculty-Directed Programs with links to their brochure pages. Need help deciding? Save the Date on the evening of January 17. The Department of Management at Clemson University will host an information session to highlight our 2024 summer programs.  Happy Holidays!Wilbur O. and Ann Powers College of Business at Clemson University, Global Engagement, Clemson University",Shared Post,30,1 comment,6 reposts,None
Chad Navis 603413,22,1yr • 1 year ago,"Recent Clemson University and Wilbur O. and Ann Powers College of Business alumni celebrate a significant achievement as Kanga Coolers, a venture born out of a Powers College of Business class assignment, emerges as the winner in a recent Shopify-hosted contest. The prize? A coveted advertising space in a recently aired Mr. Beast YouTube video. Read more!",Shared Post,139,3 comments,9 reposts,None
Chad Navis 603413,22,1yr • 1 year ago,"Hello LinkedIn entrepreneurial investors! As some of you know I am on a mission to gain a better understanding of how and why investors choose to invest in various entrepreneurial ventures. As a PhD candidate at Clemson University studying entrepreneurship, this interest is a perfect fit. I come to you all today - especially entrepreneurial investors - asking a little help....I am in the midst of dominating a really cool dissertation so I can graduate and continue to serve the entrepreneurial community with my PhD; however I NEED the help of investors. No, I don't need any money, rather I would welcome 5-6 minutes of your time to complete this fully anonymous survey which helps us gain a better understanding of how investors make decisions. Here's the anonymous survey link: https://lnkd.in/gH2cYX2k. If you're an investor and could take a few minutes to help me out it would be much appreciated!",Shared Post,15,2 comments,10 reposts,None
Chad Navis 603413,22,3yr • 4 years ago,"Can early-stage entrepreneurship be distilled down to a few core principles? I wrote this as an introduction to an entrepreneurship class that I teach, and I decided to share it here. It is too long for a LinkedIn post, but the key principles are shared in the first few paragraphs for those who want a quick snapshot without reading to the end. If you have any thoughts, reactions, or additional insights please let me know.Thanks to Haley Dosenbach for providing feedback on the first draft of this. hashtag#entrepreneurship hashtag#startup hashtag#entrepreneur",Shared Post,105,15 comments,17 reposts,None
Chad Navis 603413,22,2yr • Edited • 2 years ago,"The Inaugural Powers Pitch Competition at the Wilbur O. and Ann Powers College of Business at Clemson University was a success! Congratulations to all the participants and organizers. Chad Navis, Arthur M. Spiro Professor of Entrepreneurial Leadership, Lori Tribble Trudell, Hope Parnell, Keith Hudgins, and Bill DiNardo in the Department of Management at Clemson University did an excellent job. We appreciate the Arthur M. Spiro Institute for Entrepreneurial Leadership, all the sponsors and the judges. Go Tigers 🐯 !Video📽 by Eliya be Malke - Exchange Student at Clemson University from Germany. https://lnkd.in/gmaunEtv",Shared Post,23,1 comment,8 reposts,None
Chad Navis 603413,22,4yr • 5 years ago,,Article,6,0,0,https://hbr.org/2020/04/ensure-that-your-customer-relationships-outlast-coronavirus?fbclid=IwAR2i2WbpJXqdTMdjNwZ5M_KXtJTEROITLG55xLmO9NobbvUIDFXozdrsHM0&gig_events=socialize.login
Chad Navis 603413,22,4yr • 5 years ago,,Article,2,0,0,https://eiexchange.com/content/how-to-care-for-your-team-during-a-crisis?fbclid=IwAR0Fx2_ZpscPr26uzAVatqKrFi-ul6pfrKEdGCEYRuS8iwhyiIt0YOfHLNg
